   1	2   5   2 
   1	6  15  11 
   3	2   5   8 
   5	6   8   5 
   3	6   3   2 
   9	2   3  11 
  11	2   8  12 
  11	2  11  15 
  11	6   6   3 
  13	6  12   4 
  13	6  15  14 
  17	6   7   2 
  19	2   5   4 
  21	6  12   4 
  23	2  11   7 
  25	6  10   7 
  27	2  12  13 
  31	2   6   9 
  33	2   5   9 
  35	2  14   9 
  37	2  14  15 
  37	2   9  12 
  39	2  15  13 
  41	2  15  10 
  43	2  13  10 
  45	2  12  14 
  47	6  11   9 
  53	2  11  15 
  55	2  15  13 
  57	2  13   8 
  59	2   8   5 
  59	2  13  14 
  61	2  15  10 
  63	2   5  10 
  65	2   5   6 
  65	6  13   8 
  67	2  10   6 
  71	2  11   9 
  73	2  12   9 
  75	2  13   9 
  77	2  14   6 
  79	2  13  14 
  79	6   8   5 
  81	2  14  10 
  83	6  14  10 
  89	2  13   9 
  89	6  15  11 
  91	2  13  12 
  93	2   8  12 
  95	2  10   6 
  95	6  13   8 
  97	6  11  10 
 101	6   8   4 
 103	2  13  10 
 105	6  14  13 
 111	2   6   9 
 111	2  14  15 
 113	2   6   5 
 113	2  12  13 
 113	6  15  11 
 115	6   9   6 
 119	2  14  15 
 121	2   6  11 
 121	6   8   4 
 123	6  14   6 
 129	2  10   5 
 131	2   8   9 
 131	6  15   7 
 137	2  10  11 
 139	2   5  13 
 141	2   8  10 
 143	2   9  13 
 143	6  11   6 
 145	6   8   4 
 149	2  14  10 
 151	2   9   5 
 151	6  15  11 
 153	6  12   8 
 157	6  10   5 
 163	2   4   6 
 163	2  14  13 
 165	2   5   8 
 167	2   7  10 
 169	2  14   6 
 171	2  15  13 
 171	6   7   6 
 173	2   4   9 
 175	2   9  13 
 175	6   4   1 
 177	2  15   7 
 179	6   7   3 
 181	2   1   5 
 183	6   8   5 
 179	6  15  14 
 185	6  14  13 
 189	2   6   5 
 191	2  10   5 
 191	6   3   2 
 193	2   9  10 
 195	6  10   8 
 197	2   1   2 
 201	2  13   5 
 203	2   5   8 
 203	6  14  13 
 205	6   7   5 
 211	2  14   6 
 213	2  14  15 
 215	2   7  15 
 215	2   1   9 
 217	2  10   8 
 219	2  10   2 
 221	6  14   6 
 227	2  15  14 
 227	2   6   7 
 229	2  14  13 
 227	6   4   1 
 231	6  13  10 
 233	6   5   4 
 239	2  10   2 
 241	6   9   5 
 247	2   5   2 
 247	6  14  12 
 253	2   9  12 
 255	2   5   8 
 255	6  14  10 
 257	2  12   8 
 261	2   9  13 
 261	6  15   7 
 263	2   9   5 
 265	6  13   9 
 271	2  12  14 
 273	2   6   9 
 273	2  15  14 
 275	2   6   2 
 275	2   9   8 
 275	6  14  11 
 277	6   6   5 
 283	2  15   7 
 283	2  13   9 
 285	2   2   7 
 285	6  15  13 
 291	2  11   7 
 291	6  13   5 
 293	2  15  11 
 295	6  15  11 
 297	6  13   8 
 301	2   6   7 
 303	2   6   5 
 305	2   8   5 
 307	2   8  12 
 307	2  11   6 
 309	2   5   7 
 311	6   5   2 
 309	6  13  12 
 311	6  11   7 
 317	2   8   5 
 317	6  15  14 
 319	6   8   5 
 325	2  11   9 
 327	2  13   8 
 327	2   7  11 
 329	2   9  14 
 329	2   7   2 
 331	2  13  12 
 331	2   6   5 
 333	2  14  12 
 333	6   5   2 
 335	2   8  12 
 335	6  14  10 
 339	6  12   4 
 341	6  14  11 
 345	6   2   0 
 347	2   9  10 
 349	2  10  14 
 351	2   9  13 
 353	2  10   8 
 355	2   6   4 
 357	2   8  13 
 357	2   7   6 
 359	2   9   5 
 361	2   8   0 
 361	6  14   6 
 367	2   6   4 
 369	2   6   9 
 369	2   4   0 
 371	2   6   4 
 373	2  13   5 
 375	2   9   4 
 375	6   7   2 
 377	6  13   8 
 381	2   2   0 
 383	2  14  13 
 383	2   2   5 
 385	2  14  10 
 385	2   0   5 
 387	2   6  10 
 387	2   0   8 
 389	2   5   8 
 389	6  14  10 
 391	6  12   4 
 395	2   2  10 
 397	2  13  12 
 397	6   5   2 
 399	2  13  14 
 401	6  14  12 
 407	2   9   8 
 409	2  10   9 
 411	2  10  14 
 411	6   8   5 
 417	2   8  12 
 417	6   5   2 
 423	2   8   5 
 425	2  13   5 
 427	2   6   9 
 429	2   6  14 
 429	6  12   8 
 431	6  10   2 
 435	6   4   0 
 437	2  13  10 
 439	6   9   6 
 445	2   5  10 
 445	6  13  12 
 447	6  10   5 
 453	2  12   4 
 453	6  14  10 
 455	2   4   5 
 457	6   8   5 
 463	2   9   5 
 465	2   6   5 
 467	6   6   4 
 473	2   6  10 
